,Title,Company,Location,Snippet,Job Url,Salary
10,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
11,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
12,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
13,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
14,newOperations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month"
15,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tnwQTNQI8ngOQ7OhUIqfrrxwBgDnVUuk5qpZHb6jFLXhmF9Kshp95BtiTQXl0gYQeYGxoVl-ebPfe7jB6xE_EPbEz8b_IpCMPHLZkT3gyyTmprx9BCjEjVzAcHxIeuJ8Ocjq5WtucCO6aNrKJPCtWZWDBLbpfv_-gqmhFC4TWNGe2zmUf4VFroTycR9XZBOH-wixb5wEYEwyXjQRTy8bnqj1VYZTa9NriAWZV2nsmxo84v8k1n80wPCP3atseDII-vdmkLqi07-kib5PBuiJzvUt3o55pTrufLi0Vz_4jeM4=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
16,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7kJ75CcSW6EiFnQv4MgA83gKoqqFwAu0a9aTlTrx1tYr9_1AyqPtL49WErESk0-B_qxOnIKsHMiOmaA04SrfzcVws4-lLGkr5VhwyGtUINjjk_659L5eFhEMJ2KwjqHZrDpq-L7MxwLeDG3RIt5-kFr7G5humZFe0tO9Ho4CHsBVLHpg2P0HdmBMj1Iw09XharH3cmw3kO5sz7SZoKKR1MGjDs3qp-qsYtoUbo-qZldaLfqFRsKZTRZ22tgeRKH46bi8hZpLMZvOnBE-Hydyeb6NOI9qJpObV&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
17,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8ehKyIMMzPKFChRRpQsjqhpdIS-OmVUrmuUiY0jl9A0ADTkezVJ3qvStK90Rz7wZryJa-YI5qnSoDELncdHAKDYwzPJcTFjLX7CPqmeCuwM-vhNSnLyvn1IB468Kdy2pDEu-anG8B2eVweXrl8-SslUhivlh_T50CfnM8RsivBQpQXnF86yrO6O3W-HtuFer8rwBjCJtiQ0EJ_aSByffoIk5xnncckESENabZH4JYKo72GlgLYyWVU7M1BoQAFqyU2jka7HVnHFIw2OqfVYbUJ5wcW_x7BpwMkzz9jksCBkUg=&p=2&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
18,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k3xIC__CDlNdw3RPzGRa-iZzVYcVl491NRa37qD_7hwVQ3R5mnU-xcPwjptREjQoTkc1dRnr6LReagq-GpQUV_kNZEEGaWVZLyCCpWKC8II1d9_K4hzhHkf94y2NIzKEm2AbBZacHaz8SzatkeenPVBSGfx66ewKBaHTZEgCjVDVsnAlxcpGFf4eWJk0py7VTfko2cXn0GPkkzY97FH_ZQs5i9uOtYznTP8qujXtPD4fMxIjBh8La5EPAJ4cTNrjjx2uUvi8RjtfHUL6NJCDlBAjWYvrqW6LAi_4Aet4rzos=&p=3&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
19,newCustomer Service Associate Manager,Wells Fargo,Manila,"Collaborate and consult with internal partners, relationship managers, and colleagues to ensure customer satisfaction.In this role, you will:",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0sLjryQUNkc81K2goHfqpo9JHml6Vo2yWT4XuRGLXtsN7afMoSAWdG5ZL4C8Qq4L6_9C5Q6In8jBHvbmjkmbwx_jqHGR-0crH-tFWzEUlHkw3aUwEuFp6cI1sXOO4G8wSo8q0KS_vww1LJPy0caFyX79-UdbiCtBQbA3oteU1c73yQg5K9AN1hiL7gI7XSXLbKrR-o9esaGrjsXTOISEUULoDsPY0MP-6-b_jU6wCyWDKG8I3ij9ydcs8t-y-ZzpZOPFxvU4nb0vLa3K0_GWBcjDpW5ctK72w2dQBQ7yePtzs2fnoRpnMuzg0W-UUeEy3CK4_QFq12O962_iur2L8U9_bPF8ilB7tiXJvHas-Q564M3dL4IMG115kC9tSyIZmO82--QrGDlg2yH3qJMqThUN9LqrQs3YUerazCogfIPBn-vrh6hN7K3qA3LLFXnIA8ieFZLDRWGbIqaPUWiLsUPiiGgupt1mIupxrPnlzDXLLvJawm6ovbg-ckwURsVxp3D2j_i88PtEw_DseGsA1XIM3sA5_13MTohk-qpVSVXBc-9Jgii80kZqjdt4PC-m7xEQoVT-Z6mPb5k3GQPmZhP_6Oa1JzOxX1LqzPoejDT1LnD9yKhQ1kUwIoQjt7mGXHTS9G0uaqQx0lNwLyJJNPMsJmXSo3ujh8KL9khVZb3iz5tgc93bCpoKM9rNSu-jeIXsPtT97BA==&p=4&fvj=0&vjs=3,None
20,newCustomer Service & Logistics Manager,Colgate-Palmolive,Taguig,This position is responsible for providing Supply Chain leadership and collaboration with customers of the assigned Customer Development Team (CDT) to ensure…,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CScSxRBn_n5hzPBw7DFYVJJAQwrBP-UaBS3EDdzxnGq6gI1adXlY5gx-FzTkbHERM3hfajmbKOLM3g-x7Q-_9GWQ2weAD_pi0e2eLbgq9JrZYo3lCEDqSXvL7-9amlH8lagCh5Dk2E0iCh6DbDQ7ooZUPUg086eEGWFsDAIaMJvZAGTtzS50-PLEO_0GVmubArgXVUWp-XCmGxy1B8MKPRTh7oHe5-wmLSrqNigtKLCaI9hVBrMmaI7_HmP1t7FzOCwyXAZ87v2G-G9qSYTFqpsmLhpyfqIFAjGqG4pHEPSegeDLPJa8tfv7seOWVKl5M8moCC2S_cfTGyWOsHIoeSelL8barwtsux1cRtAwAQbAriFT45q--FhbkGcNuzKkcvyhiof68F5A4Ec2QLZWnmdFq78ycLsIeCN8_BEY_UDL7FBT4QUgq3yMC36J0qd9bx51Tbizee5l1t5Qr4M6yFZ2Kpng51ohovMfJhfq_0SIrsymE3pKgzYYwY-R6SOVyIpV2zle9nZQTQdbLdDS47ousSWaBX8hbxf4eDiv2a2Jtn3s1io12dzLgb0nEY6kQmzHPNxTksomlXGwxuVwAjVOxOsmTW6MF9kHnjF3ZV0asYJIHivCHHWL8f5ZqReEKTcGG5WLYsug==&p=5&fvj=0&vjs=3,None
21,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
22,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
23,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
24,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
25,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
26,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
27,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
28,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
29,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
30,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tCVqtAPWkv-i394IPmhtE9Z9c3Gu9grP3UPpxvzo948bXLiWC99hbdwmNnoroYUoYpFIaIbncjVJg--5RmKlY-dvD7R_Pi3rfn0Q5V17eRA59lozn746vfa5AmvuehVIBvpzqgZ7I_Lr1QtmygonR7qAfbNQ2FQcVEktcAOq4oY9FbS4K_MrDIjNherCOEow-fEkVBwbx7jo_a_7jrcY2_TfyxQ3PhwtQS--LpDX7Yv6MYzeT68NvdpaT8PN17255BkQmBQnhAECotvpXJ6eUnpgF45qjkm0Au7BUSLojxuU=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
31,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7RIgNWK01XZ3o87KKRbSCes2wTd6I-M-BnvSnslrHgsl8uVHsp3_vKQS5ugSVytDSvsfP6kPZpoju9IlAPoJDeqnAGnxxDD0-zGEOrmbM_qebrqD2_uMVzwU-fnZyvRGa0js19TOgyYdjOrix97Xj63rH3WCp8nZU4tfk0wCqnw371E7HLXqmXHMmqaVd2Ri44SuTS858bP3Wu4lUrrdG2I3UCDtNJ3MobgeqQ-97Tn8GZ7n7X6q50unmymAa9XrPdKyPVaBLEhJhRA3UsiCw1s64VvNKZj6i&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
32,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7k98K6qObPZ5grJ6ZclJWskY65imNRWefHeIZo5rKPLV7AZcKTvBvCR83FKwEvsmz3gtEid2S086Dn_SovYG0oyCFGxtnCzVuQAjScRzR1dCylglzrFH-BFyuV6m9AXctg7yUY1kRRfrmkRgvx82ruD1oW1VWcf9X_qmKVJDa_IDyJxHIMCAWtOnCtF1XT9f31Luqq1lPV1zd2TElVoFT8_kM3SLj7ItrsDgLyRSuZUdILANsCU_YNY0c-iqlU0HXwgMWo8t3Fo8kKTkFkGbRoF75O3KOWbNgr3MHoEK4lbHU=&p=2&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
33,newBusiness Development Manager,Counto,Remote in Manila,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8ere1cjBWTSQHEXq97NQ4QN5zmPNkEUWbhXI3EVdX_eHKdYMvnoHqFTcCjUm1cAsq5ZULLgKd_iGoid8wD1mQNSPkyzp6dtNM8m66vHkFoRX4kcWA0Qxxf-MdlFqNBN8JzuaDUSfcKuc1VPQKnRk7pYpeuuF3e3zlN-BkRkFTh6XAL7gZuy7mVGUJd1ysAPrLxv4INvfkhEG5b_eWckAE55mmbrgkCYri2ozqsZz044mynmJvRhZvs2m-Za1RArsLQrcoMBGN2eygncWYb0F3dUBqTvv4veeL0US4llV_iBiY=&p=3&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month"
34,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
35,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
36,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
37,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
38,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
39,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
40,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
41,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
42,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
43,newOperations Manager (Temporary work from home set-up until fu...,JK Network Services,Temporarily Remote in Quezon City,Atleast 3 years of experience as Ops Manager/Assistant Manager.Amenable to work onsite and WFH set-up.Advertising experience is a plus.,https://ph.indeed.com/company/JK-Network-Services/jobs/Operation-Manager-5c1ee6e67f3c14d8?fccid=62bd09cb34df5ce3&vjs=3,"PHP 70,000 - PHP 80,000 a month"
44,newHuman Resources Manager,GrowthAssistant,Remote in Manila,"This position is hand-on and will build and oversee the Human Resources function, owning the end-to-end GrowthAssistant (GA) and internal team member experience…",https://ph.indeed.com/company/GrowthAssistant/jobs/Human-Resource-Manager-0312f9feb3ccda3d?fccid=bc27547eac27f7b0&vjs=3,"PHP 50,000 - PHP 80,000 a month"
45,newWarehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tWXfdEQlQBI4nxLeI1t_g3sYShdFj-AhtCfrbVNQfozThVP9lWISSF-1LiuxDxCueSXjMYh6jdF8IDqDuV__GVy7PwBz3-ZILs-YFOtvKWEL37xlhxGKdSZK_4FO-n63pZ9ng-UdGLGX3LBMVY_pgQDj5ckYL750fqfp70burJSHAiszAknGWwue0KQRwSaRYGy2D80ZP4qRUSFdQ8hfclsROvk9IoIOfuiQtTxDqPv045hH-XwzEJ4xzBdbrNDbIoxgHG7Z1KKPk6jsOcrTcNl546kqDCEboYjpA5AMn0Co=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month"
46,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7tx49lqWcRLJokimy0dwjH4goDV0Vs9mt2wl2PCYoYzSJY8kYA0BHFmkO3jVHnwpa_CcLgMqS-8Xwz2iGU0y4EOc9tYTM63JEvGWVBpEvFcSnPIV58CA5tmWRDfj5orrrh3sB9DK-4QmTbkIlma0km_v_2NR08OcCTzjYeQiZNL3Bd1eQNnK0iFih2nwmA4MB_VcFrmSBc_U4iB21DFKYrY4fhZMypPoJ2ydl_dkyGjLtTRNQLO03LQeabHl9oWlFyVhRlHkRqRPOH7UGzJ03V-WWENOS-AAE&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month"
47,Operations Manager,Vrio-Fintech,Remote in Manila,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kmtkDsMATnHWVN7OvYJtib0fgibT2VfEGXNffrAaObEiQJrDcecEiwgSkJqjavWuKU7vsJmN8QqgJ2-npGO1zuPwj1Lo_OEty58Tl2h6DUn-juobMr-r4OQynYbSFwEVR5ERgzzLkElCdH2b5ZvQwBzvFa2OgKvg7_Ybkkbfdhton767QBwwx_h_Yc3BLwqglr5z77c80QI3Hvcf7LD0BQZGog0tCYGKjlNr4yrW9pBigslnmcivRDXIJz5Zl3vgZ0_BqvMAt__w27vplg0vQU9DTRYhVLHksQUoM8Kzr9IY=&p=2&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month"
48,newOperations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month"
49,"newManager, Facilities Management",AirAsia,Manila,"Ensures the workplace is comfortable, a system in good condition and functional.Planning and measure M&E preventive maintenance.",https://ph.indeed.com/rc/clk?jk=c29a934965c14b43&fccid=350f4541eb63ccf6&vjs=3,None
50,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month"
51,newASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month"
52,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote in Manila,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month"
53,newOPERATIONS MANAGER,Kings Group of Companies,Makati+1 location,"Shall oversee day to day operations of people (admin staff, sales agent) assigned in different locations.With very high problem solving skills.",https://ph.indeed.com/company/ZC-KINGS-MANPOWER-AND-JANITORIAL-SERVICES/jobs/Operation-Manager-226e760663ee60f8?fccid=e5f00a47d48ee91d&vjs=3,"PHP 50,000 - PHP 55,000 a month"
54,newCollections Agency Manager,Eastwest Bank,Mandaluyong,Ensures effective and efficient execution of collection strategies that are in compliance with BSP and other regulatory entities.Graduate of any 4-year course.,https://ph.indeed.com/rc/clk?jk=6a9cb2da84da6d61&fccid=9463b5ff29280929&vjs=3,None
55,Human Resource Manager (Remote),BatchService,Remote in Quezon City,"As a Human Resources Manager you are responsible for planning, directing, coordinating, and administering policies relating to all phases throughout the…",https://ph.indeed.com/rc/clk?jk=a3611a4c9b383fdd&fccid=6b7e3270f68d9ee6&vjs=3,None
56,newRestaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month"
